input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape
2,layer4.2.conv3,Conv2d,MM,49,512,2048,0.49135044642857145,0.0,0.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
2,fc,Linear,MV,1,2048,1000,0.05419921875,0.0,0.0,"(1, 2048)","(1, 1000)"
3,conv1,Conv2d,MM,12544,147,64,0.0,0.0,0.0,"(1, 3, 224, 224)","(1, 64, 112, 112)"
3,layer1.0.conv1,Conv2d,MM,3136,64,64,0.0025061782525510204,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
3,layer1.0.conv2,Conv2d,MM,3136,576,64,0.5194465481505102,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
3,layer1.0.conv3,Conv2d,MM,3136,64,256,0.5147281568877551,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
3,layer1.0.downsample.0,Conv2d,MM,3136,64,256,0.0025061782525510204,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
3,layer1.1.conv1,Conv2d,MM,3136,256,64,0.5343353894292092,0.0,0.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
3,layer1.1.conv2,Conv2d,MM,3136,576,64,0.4868313536352041,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
3,layer1.1.conv3,Conv2d,MM,3136,64,256,0.4312071508290816,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
3,layer1.2.conv1,Conv2d,MM,3136,256,64,0.38732162786989793,0.0,0.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
3,layer1.2.conv2,Conv2d,MM,3136,576,64,0.5124461894132653,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
3,layer1.2.conv3,Conv2d,MM,3136,64,256,0.44179986447704084,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
3,layer2.0.conv1,Conv2d,MM,3136,256,128,0.3315616529815051,0.0,0.0,"(1, 256, 56, 56)","(1, 128, 56, 56)"
3,layer2.0.conv2,Conv2d,MM,784,1152,128,0.534423828125,0.0,0.0,"(1, 128, 56, 56)","(1, 128, 28, 28)"
3,layer2.0.conv3,Conv2d,MM,784,128,512,0.4380580357142857,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
3,layer2.0.downsample.0,Conv2d,MM,784,256,512,0.3315616529815051,0.0,0.0,"(1, 256, 56, 56)","(1, 512, 28, 28)"
3,layer2.1.conv1,Conv2d,MM,784,512,128,0.5041055484693877,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
3,layer2.1.conv2,Conv2d,MM,784,1152,128,0.4963229432397959,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
3,layer2.1.conv3,Conv2d,MM,784,128,512,0.5113899075255102,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
3,layer2.2.conv1,Conv2d,MM,784,512,128,0.40793158083545916,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
3,layer2.2.conv2,Conv2d,MM,784,1152,128,0.5011360012755102,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
3,layer2.2.conv3,Conv2d,MM,784,128,512,0.47376235650510207,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
3,layer2.3.conv1,Conv2d,MM,784,512,128,0.3679996412627551,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
3,layer2.3.conv2,Conv2d,MM,784,1152,128,0.5177973533163265,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
3,layer2.3.conv3,Conv2d,MM,784,128,512,0.49733936543367346,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
3,layer3.0.conv1,Conv2d,MM,784,512,256,0.3544548190369898,0.0,0.0,"(1, 512, 28, 28)","(1, 256, 28, 28)"
3,layer3.0.conv2,Conv2d,MM,196,2304,256,0.4854711415816326,0.0,0.0,"(1, 256, 28, 28)","(1, 256, 14, 14)"
